Thai_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,Carbs(g),Fiber(g)
"บวบกลม, ดิบ",9.3,0.9,0.1,134,27.5,1.2
"บวบงู, ดิบ",9.3,0.9,0.1,134,27.5,2.4
"บวบหอม, ดิบ",9.3,1,0.1,134,27.5,2.1
"บวบเหลี่ยม, ดิบ",9.3,0.8,0.1,134,27.5,2.4
"บ๊วย, ดอง",9.3,0.8,0.2,134,9.6,0.7
บะหมี่กึ่งสำเร็จรูป,3.2,9.9,20.6,457,27.5,4.4
บะหมี่สด,9.3,12.7,3.3,134,54.5,0.7
บะหมี่เส้นกลม,9.3,9,33,134,51.2,0.7
บะหมี่เส้นแบน,9.3,8.4,40.7,134,46,0.7
บัตเตอร์สเปรด,9.3,0,69.6,134,0,0.7
บุกเกียง,9.3,0.2,0.2,134,4.7,1.6
เบคอน,0.6,12,42,458,1.4,0
แบะแซ,23.3,0,0,134,94,0.7
ใบขี้เหล็กอ่อน,0.6,5.1,0.3,50,8.4,3.2
ใบชะพลู,0.2,5,1.8,49,6,4.5
ใบเตย,0.3,1,0.1,33,7,1.2
ใบมะกรูด,9.3,5.5,3.1,134,21.7,0.7
ใบยอ,0.7,4.2,0.5,42,6.3,2.8
ใบย่านาง,0.5,3.1,0.4,35,5,2.1
ใบโหระพา,0.5,3.2,0.6,23,4.2,2
ปลากระบอก ,0,19.5,4,120,0,0
ปลากระป๋อง,1,17,8,164,5,0
ปลากระพง,0,20,4,124,0,0
ปลากราย,9.3,16.9,1.2,134,7.2,0.7
ปลากราย,9.3,16.2,0.8,81,27.5,0
ปลากราย,9.3,16.4,4.1,89,27.5,0
ปลากะพงแดงสั้นหางปาน,9.3,18.1,0.5,80,27.5,0
ปลากะพงปานข้างลาย,9.3,18.9,0.3,78,27.5,0
ปลาเก๋า,9.3,18.8,0.6,82,27.5,0
ปลาไข่,9.3,13.2,3.5,86,27.5,0
ปลาเค็ม,0,42,5,220,0,0
"ปลาจ่อม, ดิบ",9.3,11,1.3,78,27.5,0
"ปลาจะละเม็ดขาว, สด",9.3,19.4,6.8,134,2.6,0.7
ปลาช่อน,9.3,13.3,32.2,134,32.2,0.7
"ปลาช่อน, ต้ม",9.3,18.7,8.6,134,6.1,0.7
ปลาซ่อน,0,19,2,100,0,0
ปลาซิว,9.3,15.2,7.6,82,27.5,0
ปลาดอลลี่,9.3,10.7,1.1,53,27.5,0
"ปลาดุกอุย, ต้ม",9.3,18.2,15.5,134,4.5,0.7
"ปลาดุกอุย, สด",9.3,17.8,14.7,134,27.5,0
"ปลาตะเพียนขาว, ต้ม",9.3,19.4,10.7,134,61.3,0.7
ปลาตาโต,9.3,19.5,0.5,82,27.5,0
ปลาทู,0,20.1,5.1,145,0,0
ปลาทู,0,20.1,5.1,145,0,0
ปลาทู,0,20,10,210,0,0
"ปลาเทโพ, สด",9.3,13,7.2,134,38.8,0.7
"ปลานิล, สด",9.3,19.4,1.1,87,27.5,0
ปลาเนื้ออ่อน,9.3,16,2,83,27.5,0
ปลาไน,9.3,18.7,2.4,89,27.5,0
ปลาร้า,9.3,13,4.1,134,6.2,0.7
ปลาร้า,9.3,3.5,0.7,134,6.3,0.7
ปลาร้าต่วง,9.3,7.2,1.9,84,27.5,1.1
ปลาร้าสับ,9.3,17,5.9,134,1.4,0.7
ปลาส้ม,9.3,17.9,1.1,134,5.7,0.7
ปลาสร้อย,9.3,16.4,2.3,134,8.4,0.7
ปลาสลาด,9.3,19,0.5,86,27.5,0
ปลาสลิด,9.3,17.2,0.8,83,27.5,0
ปลาสลิดทะเล,9.3,16.9,0.1,64,27.5,0
"ปลาสวาย, ต้ม",9.3,19.4,10.8,76,27.5,0
"ปลาสวาย, สด",9.3,15,16.5,68,27.5,0
"ปลาสำลี, สด",9.3,18.6,5.3,75,27.5,0
"ปลาไส้ตัน, สด",9.3,18,0.3,134,6.4,0.7
"ปลาหมอเทศ, สด",9.3,13.5,7.5,66,27.5,0
"ปลาหมอไทย, สด",9.3,17.2,7.1,66,27.5,0
ปลาหมึก,0,15.6,1.4,79,1,0
ปลาหมึก,0,15.6,1.4,79,1,0
"ปลาหมึก, กรอบ",9.3,2.4,4.5,134,1.5,0.7
"ปลาหมึกกระดอง, สด",9.3,15.5,0.2,59,27.5,0
ปลาหมึกกล้วย,0,16.3,1.4,85,0.8,0
"ปลาหมึกกล้วย, สด",9.3,15.4,0.4,91,27.5,0
"ปลิงขาว, สด",9.3,10.5,0,44,27.5,0
ปลิงทะเล,9.3,8.7,0.3,134,27.5,0
ปอดหมู,9.3,13.7,5.8,107,27.5,0
ปีกไก่,9.3,20.6,19.8,134,27.5,0
ปู,9.3,16.2,0.8,73,27.5,0
"ปูทะเล, เนื้อ",9.3,17.3,2.5,78,27.5,0
"ปูทะเล, เนื้อ, ต้ม",9.3,17.6,2.5,91,27.5,0
"ปูนา, สด",9.3,13.1,1.1,83,27.5,0
ปูนิ่ม,9.3,9.2,0.8,51,27.5,0
ปูม้า,9.3,15.1,0.7,80,27.5,0
"ปูม้า, ดอง",9.3,15.1,0.9,81,27.5,0
"ปูแสม, เค็ม",9.3,7.5,0.3,8,27.5,0
ปูอัด,5,8,0.5,95,14,0.5
เป็ด ย่าง,9.3,20.8,22.4,134,27.5,0
แป้งโกกิ,0,5,0.4,363.6,85,0
แป้งข้าวกล้อง,9.3,8.2,2.5,371,27.5,5.2
แป้งข้าวจ้าว,0,6,0.5,365,80,1
แป้งข้าวเจ้า,9.3,6.6,0.6,359,27.5,0.8
แป้งข้าวโพด,9.3,0.3,0.2,360,27.5,0.4
แป้งข้าวฟ่าง,9.3,10.6,2.5,134,27.5,0.7
แป้งข้าวเหนียว,9.3,6,0,357,27.5,0.8
แป้งข้าวเหนียว ,9.3,7.5,2.5,134,27.5,0.7
แป้งถั่วเขียว,0,0.2,0,134,27.5,0.9
แป้งทอดกรอบ,0.6,5,2.1,358,80,1.5
แป้งท้าวยายม่อม,9.3,0.1,0,134,27.5,1
แป้งปอเปี๊ยะ,9.3,7.5,0.9,134,50.3,0.7
แป้งมันสับปะหลัง,3.5,0.2,0.03,358,88.7,0.9
แป้งมันสำปะหลัง,9.3,0.1,0.1,134,27.5,1.2
แป้งสาคู,9.3,0,0,342,85.3,0.7
แป้งสาลี,9.3,12.2,1.3,354,27.5,3
แป้งสาลี,0.3,10.3,1,364,76.3,2.7
แป้งสาลี ,9.3,14.1,1.4,335,27.5,9.9
แป้งห่อปอเปี๊ยะ,9.3,4.9,0,134,78.3,0.7
แป้งอเนกประสงค์,0.3,10.3,1,364,76,2.7
แปะก๊วย,9.3,5.2,1.9,191,38.3,0.7
ผงกะหรี่,2.1,14.3,13,325,55,33
ผงชาเขียวมัทฉะ,2,0,0,0,0,0
ผงชูรส,0,0,0,0,0,0
ผงชูรส,0,0,0,0,0,0
ผงฟู,0,0,0,53,28,0
ผงวุ้น,0,1,0,15,0,8
ผงหมูแดง,50.4,2.4,1,281,27.5,2.6
ผักกวางตุ้ง,9.3,1.7,0.2,134,27.5,0.9
ผักกาดแก้ว,9.3,5.7,2.5,134,27.5,0.5
ผักกาดขาว,9.3,0.7,0,134,27.5,1.7
"ผักกาดขาวใบเขียว, ดิบ",9.3,1.3,0.2,134,27.5,1.6
"ผักกาดขาวปลี, ดิบ",9.3,1.6,0.1,134,27.5,2.7
ผักกาดดอง,9.3,0,0,134,27.5,2.7
"ผักกาดหอม, ดิบ",9.3,1.4,0.1,134,27.5,2
ผักแขยง,9.3,1.3,0.4,134,27.5,1.1
ผักคอส,1.2,1.2,0.3,17,3.3,2.1
"ผักคื่นช่าย, ดิบ",9.3,1.6,0.2,134,27.5,0.7
ผักชี,0.9,2.1,0.5,27.7,3.7,2.8
ผักชี,0.9,2.1,0.5,23,3.7,2.8
"ผักชี, เมล็ด",9.3,13.6,0.6,134,66.4,0.7
"ผักชี, ราก",9.3,1.7,0.2,46,27.5,5.8
ผักชีใบเลื่อย,0.4,3.7,0.5,36,5.6,23
ผักชีฝรั่ง,0.9,2.1,0.5,23,3.7,2.8
ผักบุ้ง,3.1,0,0,25,0,3.8
ผักแปะ,9.3,0.6,2.5,134,27.5,1.3
ผักผ่อง ,9.3,1,0.2,134,27.5,2.6
"ผักพาย, ดิบ",9.3,0.8,0.3,134,27.5,0.7
ผักลำโบ้,9.3,1,0.1,134,19.4,1.9
ผักหมาน้อย,9.3,0.8,0.2,134,27.5,2.4
ผักโหมเหบ,9.3,0.7,0.1,134,2.6,1.7
ผักอีฮีน,9.3,1.4,0.2,134,27.5,0.5
ผิวมะกรูด,9.3,3.4,1.5,134,24.3,0.7
เผือก,0.6,2.4,0.1,134,27.5,2.5
แผ่นเกี๊ยวทอด ,9.3,8.3,35.6,134,51,0.7
แผ่นข้าวโพดอบกรอบ,6.7,6.3,0.2,363,27.5,4.4
แผ่นข้าวโพดอบกรอบเคลือบนำ้ตาล,37.1,4,0.2,343,27.5,19.3
ฝักเขียว,1.5,2.8,0.3,35,7.6,2.7
พริก,5,2,0.4,47.6,9,1.5
พริกแกง,3.8,7.2,1.1,134,27.5,6
พริกขี้หนู,5.3,2.1,0.4,50,9.5,1.5
"พริกขี้หนู, ป่น",3.4,16.2,13.6,322,27.5,52.4
พริกเขียว,2.4,1.3,0.2,31,6.7,2.6
พริกชี้ฟ้า,9.3,15,8.6,134,59.9,0.7
พริกแดง,5.3,1.9,0.4,40,9.5,1.5
พริกไทย,0.6,10,3.3,251,64,26
พริกไทยขาว,9.3,11.4,6.5,134,68.6,0.7
พริกไทยดำ,9.3,12.4,7.3,134,62.2,0.7
พริกไทยอ่อน,9.3,3.5,1.6,134,13.3,0.7
พริกยักษ์,9.3,0.8,0.3,134,27.5,1.9
"พริกหนุ่ม, สด",9.3,1.3,0.3,134,27.5,1.2
พริกหยวก,9.3,1.4,0.2,134,27.5,1.7
พริกแห้ง,3.4,14,20.5,362,27.5,51
พุทรา,9.3,1.7,0.8,134,9,0.7
แพนกาเซียส ,9.3,10.7,1.1,53,27.5,0
แพร์,9.3,0.7,0.1,134,9.9,0.7
ไพล,0,0.9,0.2,19,4.1,2.2
ฟองเต้าหู้,9.3,11.6,7.7,134,27.5,1.7
ฟักข้าว,9.3,1,0.1,134,6,2.1
ฟักเขียว,9.3,0.4,0.1,134,27.5,1.2
"ฟักทอง, พันธุ์ศรีเมือง, ดิบ",9.3,1.5,0.2,134,27.5,1.3
มะกอก,9.3,0.4,0.1,134,27.5,0.7
มะกอกไทย,9.3,0.7,0.2,134,21,0.7
มะกอกฝรั่ง,9.3,0.8,0,134,12.3,0.7
มะขาม,9.3,14.4,7.5,386,65.3,0.7
มะขาม ดอง,9.3,1,0.2,134,11.9,0.7
มะขามเทศ,9.3,3.5,1,134,27.5,0.7
มะขามป้อม,9.3,0.4,0.1,134,27.5,2.1
มะเขือเทศ,9.3,1,0.4,134,27.5,2.7
มะเขือเทศสีดา,9.3,1,0.3,134,27.5,2.6
มะเขือเปราะ,9.3,1.1,0.2,134,5.2,2.6
มะเขือเปาะ,3.1,1,0.2,35,6.5,2.5
มะเขือม่วง,9.3,1.4,0.2,134,7.4,2.7
มะเขือยาว,9.3,1,0,134,27.5,1.7
มะเขือเสวย,9.3,1.5,0.5,134,27.5,1.5
มะดัน,9.3,0.3,0.1,134,7.4,0.7
มะเดื่อ,9.3,1.5,0.3,134,11.3,0.7
"มะเดื่อ, ผลอ่อน",9.3,1.3,2.5,134,27.5,1.2
มะตูม,8,2,0.3,137,32,2.9
มะนาว,9.3,0.5,0.1,134,10.8,0.7
"มะนาว, ดอง",9.3,0.9,0.1,134,10.3,0.7
มะปริง,9.3,0.4,0.8,134,16.8,0.7
มะพร้าว,4.7,0.9,4.9,134,27.5,1.4
มะพร้าว,9.3,3.5,28.7,134,13.3,0.7
"มะพร้าว, คั่ว",13.6,6.6,60.4,650,27.5,14.6
มะพร้าวอบแห้ง,1.8,4.1,39.2,482,27.5,50.8
มะพร้าวอ่อน,4.6,0.5,1.7,134,27.5,0.6
"มะพร้าวอ่อน, เนื้อ",3,1.4,3,47,27.5,1.6
มะไฟ,9.3,0.7,0.3,134,10.5,0.7
มะม่วงแก้ว,9.3,0.6,0.2,134,27.5,0.7
"มะม่วงเขียวเสวย, สุก",9.3,0.5,0.8,134,18.2,0.7
มะม่วงหิมพานต์,9.3,11.6,23,134,27.5,4.5
"มะม่วงหิมพานต์, ผล, สุก",9.3,0.8,0.4,48,27.5,2.6
มะม่า,1.8,7,18,470,60,2.7
มะยม,9.3,0.7,0.7,134,6.3,0.7
มะระขี้นก,9.3,1.4,0.4,134,27.5,2.6
มะระจีน,9.3,0.8,0.1,134,27.5,2.1
มะระไทย,9.3,1.4,0.4,134,27.5,2.6
มะระหวาน,9.3,5.7,2.5,134,27.5,2.1
มะรุม,9.3,1.3,0.3,134,27.5,2.5
มะละกอ,9.3,0.6,0.1,134,27.5,1.6
มะละกอสุก,9.3,0.2,0,134,3,0.7
มักกะโรนี,0.6,5,1.1,130,25,1.3
มันแกว,1.3,1,0.1,38,9,1.8
มันแกวดิบ,4.8,0.8,0.1,134,27.5,1.2
มันเทศเนื้อสีม่วงแดง,9.3,0.9,0.2,76,17.6,0.7
มันเทศเนื้อสีเหลือง,9.4,0.9,0.1,134,27.5,4.2
มันฝรั่ง,9.3,2.5,0.2,70,14.6,0.7
มันสำปะหลัง,9.3,0.8,0.2,137,33,0.7
มันสำปะหลัง,9.3,0.4,0.2,134,27.5,2.3
มันหมู,0,1,92,850,0,0
มันหมูแข็ง,9.3,3.9,81.6,750,27.5,0
"มาการีน, เอนกประสงค์",9.3,0.4,80.2,723,27.5,0
มายองเนส,11.4,1.6,49.9,521,27.5,0
มายองเนส,1.1,1,75,680,0.6,0
มิริน,13.4,0,0,230,12,0
เมล็ดทานตะวัน,1.9,23.4,52.1,134,27.5,11.1
เมล็ดบัว,9.3,10.3,0.5,134,27.5,10.1
เมล็ดฟักทอง,9.3,16.8,32.5,134,27.5,6.7
แม๊กกี้,0.4,2.2,0,1.5,0.2,15
แมคคาเดเมียนัท,3.2,7.6,78.5,134,27.5,5
"แมงกะพรุน, ดอง",9.3,0.7,0.4,38,27.5,0
"แมงกะพรุน, แห้ง",9.3,6.9,0,48,27.5,0
แมงลัก,0.1,14.8,15.9,134,27.5,56.8
แมงลัก,9.3,2.4,0.5,26,27.5,5.7
ยี่หร่า,9.3,16.9,7.7,134,54.2,0.7
โยเกิร์ต,9.3,3,0.8,134,18.1,0.7
โยเกิร์ต,5.9,4.5,3,94,27.5,0
โยเกิร์ตผสมวุ้นมะพร้าว,13,3.3,2.5,134,18.8,0.7
รสดี,2,6,3,90,10,0
รากผักชี,1.2,1.1,0.4,26.8,4.7,2
ละมุด,9.3,1,1,134,28.6,0.7
ลางสาด,9.3,0.9,0.1,134,15.6,0.7
ลำไย,9.3,1.2,0.1,134,27.5,1
ลิ้นจี่,9.3,1.1,0,134,21.9,0.7
ลิ้นฟ้า,9.3,0.6,0.4,134,27.5,2.4
"ลูกจันทน์เทศ, ดอง",9.3,1.8,0.4,134,18.5,0.7
ลูกจันทร์,2.2,5.8,36.3,525,49.3,20.8
ลูกชิ้น,9.3,16.2,9.9,173,27.5,0
ลูกชิ้น,9.3,17.8,3.1,163,27.5,0
ลูกชิ้นไก่,9.3,15.1,11,188,27.5,0
ลูกชิ้นแคะ,9.3,9.9,19.2,134,27.5,0
ลูกชิ้นวัว,9.3,15.8,3.5,120,27.5,0
ลูกชิ้นหมู,9.3,14.7,8.7,174,27.5,0
ลูกเดือยต้ม,0.5,4.6,2.4,147,27.5,0.8
ลูกตาล,9.3,1,0.4,39,27.5,5
"ลูกตาลอ่อน, สด",5,0.5,1,45,27.5,1.9
"ลูกท้อ, ดอง",9.3,0.9,0.1,134,5.5,0.7
ลูกหว้า,5,0.9,0.1,134,27.5,0.7
เลือดไก่,9.3,7.1,0.2,30,27.5,0
เลือดเป็ด,9.3,5.9,0.1,24,27.5,0
เลือดวัว,9.3,10.9,0.1,58,27.5,0
เลือดหมู,9.3,10.5,0,42,27.5,0
วุ้นเส้น,0,0.1,0,134,27.5,1.3
วุ้นเส้น,4.9,1.7,4.6,134,27.5,1.6
เวย์โปรตีนผง,9.3,7.8,9.7,400,27.5,3.4
สตรอเบอร์รี่,4,0.7,0.3,33,27.5,3
สตรอเบอร์รี่แช่แข็ง,4.9,0.8,0.2,36,27.5,2.6
ส้นนอกวัว,9.3,20.5,1.1,98,27.5,0
ส้ม,8.2,0.9,0.1,47,11.8,2.4
"ส้ม, เกลี้ยง",9.3,0.5,0,134,12.6,0.7
"ส้ม, จุก",9.3,0.7,0,134,9.3,0.7
ส้มซ่า,2,1,0.2,40,9,1.2
ส้มฟัก,9.3,12.2,1.4,74,27.5,0
"สมอ, ดอง",9.3,1,2.8,134,14.1,0.7
ส้มโอ,7,0.8,0.2,38,9.6,1
สะโพกไก่,9.3,15.6,15.6,134,27.5,0
สะโพกหมู,9.3,21.6,5.6,137,27.5,0
"สะระแหน่, ใบ",9.3,3.2,0.7,34,27.5,5.6
สันคอหมู,0,17,23,290,0,0
สันตะวาใบพาย,9.3,0.4,0.1,134,1.8,0.7
สันนอกหมู,9.3,22.7,6.5,149,27.5,0
สันในวัว,9.3,22.6,1,99,27.5,0
สันในหมู,9.3,21.8,3.2,116,27.5,0
สัปปะรด,9.9,0.5,0.1,50,13.1,1.4
สายบัว,9.3,0.3,0.1,134,27.5,1.6
สายบัว,1,1.5,0.1,23,4,1.6
เส้นก๋วยจั๊บ,0,1.7,0.1,133,27.5,0.4
เส้นก๋วยจั๊บญวน,0,1.4,0.2,116,27.5,0.8
เส้นก๋วยเตี๋ยว,17.3,4.5,0.4,270,27.5,1.4
เส้นแก้ว,0.1,0.1,0,351,86,0.5
เส้นจันท์,9.3,5.4,0.3,134,81.1,0.7
เส้นบะหมี่กึ่งสำเร็จรูป,2.4,6.8,5,364,27.5,2
เส้นบะหมี่กึ่งสำเร็จรูป,1.2,7.5,17.8,450,59.1,2.3
เส้นหมี่,9.3,7,0.7,375,27.5,1.3
เส้นหมี่ขาวทอด,9.3,4,42.8,134,52.2,0.7
เสม็ดชุน,9.3,5.7,2.5,134,27.5,7.1
เสาวรส,9.3,1.3,0.3,42,27.5,3.8
ไส้กรอกหมู,9.3,12.7,20.7,134,27.5,0
ไส้หมู,9.3,9.3,17.6,205,27.5,0
ไส้หมู,0,16,24,290,0,0
ไส้อ่อน,0,16,14,190,0,0
ไส้อั่ว,9.3,18.4,29.3,134,27.5,0
หญ้าปักกิ่ง,9.3,0.5,0.2,134,27.5,0.7
หญ้าปักกิ่ง,9.3,0.8,0.2,134,27.5,1.4
หน่อไม้,9.3,0.8,0.2,134,27.5,1.6
หน่อไม้,3,6.2,0.3,27,5.5,0
หนังหมู,0,27,35,500,0,0
หนูนา,9.3,20.8,7.4,158,27.5,0
หมี่โคราช,18.3,4.8,6,393,27.5,1.3
หมี่ซั่ว ,9.3,12.3,0.8,326,27.5,4.6
หมูกรอบ,9.3,19.9,46.9,134,27.5,0
หมูยอ,9.3,14.9,24.7,134,27.5,0
หมูสับ,9.3,18.2,17,134,27.5,0
หมูสับละเอียด,9.3,18.2,17,134,27.5,0
หมูสามชั้น,9.3,21.1,38.2,134,27.5,0
หยวกกล้วย,9.3,0.6,0.1,134,27.5,2.6
หอมเจียว,4.5,3.5,37,440,49,2
หอมแดง,9.3,2.6,0.1,64,27.5,2.4
หอมหัวใหญ่,9.3,1.1,0.1,134,27.5,2.3
"หอยกะพง, ดอง",9.3,6.1,0.9,68,27.5,0
"หอยกะพง, ดิบ",9.3,8.3,1.4,75,27.5,0
"หอยขม, ดิบ",9.3,12.4,1.2,82,27.5,0
"หอยแครง, ดอง",9.3,8.8,2.9,134,27.5,0
"หอยแครง, ดิบ",9.3,11.3,1,58,27.5,0
หอยเชอรี่,9.3,10.6,0.6,52,27.5,0
หอยเซลล์,9.3,13.6,0.5,78,27.5,0
"หอยนางรม, บรรจุกระป๋อง",9.3,13.7,28.4,55,27.5,0
"หอยนางรม,ดิบ",9.3,5.7,2.5,64,27.5,0
"หอยนางรมลอย, ดอง",9.3,5.8,2.5,50,27.5,0
"หอยแมลงภู่, ดอง",9.3,2.9,0.4,76,27.5,0
"หอยแมลงภู่, ดิบ",9.3,9.3,0.9,64,27.5,0
"หอยลาย, ดิบ",9.3,10.3,0.5,77,27.5,0
"หอยส้ม, ดิบ",9.3,6.8,0.9,64,27.5,3
"หอยเสียบ, ดอง",9.3,10.6,0.4,69,27.5,0
หัวกะทิ,9.3,3.1,28.1,134,1.7,0.7
หัวใจหมู,9.3,17,5.8,121,27.5,0
หัวไชเท้า,1.9,0.6,0.1,18,4.1,1.6
หัวปลี,9.3,1.6,0.4,134,27.5,2.3
หัวผักกาด,9.3,0.9,0.3,134,27.5,2.4
หัวผักกาด ,9.3,0.7,0.2,134,27.5,2.2
หัวหมู,9.3,22.6,22.4,134,27.5,0
หางกะทิ,2.1,1.6,21.3,213,3.5,0
เห็ด,1,2.9,0.2,26.6,3.3,1
เห็ดชิเมจิ,1,2.7,0.3,29.1,3.9,2.7
เห็ดนางฟ้า,9.3,1.5,0.1,134,27.5,1.3
เห็ดฟาง,1.2,3.1,0.2,33.4,4.8,2.2
เห็ดหอม,2.2,2.2,0.4,39.6,6.8,2.5
เห็ดหูหนูขาว,9.3,1.1,0,134,27.5,2.2
เห็ดหูหนูขาว,9.3,1,0.1,134,27.5,1.6
เห็ดหูหนูสีน้ำตาล,9.3,0.7,0.1,134,27.5,2
เห็ดหูหนูสีน้ำตาล,9.3,0.6,0,134,27.5,1
เห็ดออรินจิ,1.2,3,0.2,33,6,2.3
แหนม,9.3,18.4,2.5,111,27.5,0
แหนมหมู,9.3,19.1,2.6,115,27.5,0
แห้ว,9.3,1.1,0,134,21.9,0.7
แห้ว,9.3,1.2,0.1,134,21.3,0.7
โหระพา,9.3,2.9,0.2,32,27.5,3.9
โหระพาฝรั่ง,0.4,3.3,0.2,30,27.5,4.8
อกไก่,9.3,19.8,8.2,153,27.5,0
อบเชย,9.3,3.3,1,134,76.6,0.7
อโวคาโด,0.7,2,15,160,9,7
อึ่งอ่าง,9.3,16.3,2.2,96,27.5,0
เอ็นหมู,9.3,12.8,0,51,27.5,0
เอื้องน้ำ,9.3,0.8,0.1,134,27.5,1.5
แอปเปิล,10.4,0.3,0.3,52,13.8,2.4
ไอศครีมเชอร์เบต,21.2,1.3,3,130,27.5,1
"แฮม, หมู, ดิบ",9.3,20.4,7.4,148,27.5,0