ชื่ออาหาร,วัตถุดิบ_ไม่มีปริมาณ,,query1 อยากกินอาหารครบ,query2 ,query 3 
ก๋วยเตี๋ยวหลอดทรงเครื่อง,"เส้นใหญ่, หมูสามชั้น, เต้าหู้ขาว, เห็ดหอม, กุ้งแห้ง, รากผักชี, ผงพะโล้, พริกไทยป่น, ซีอิ๊วดำหวาน, เกลือ, น้ำตาลปี๊บ, น้ำเปล่า, กระเทียมเจียว, ต้นหอม, ถั่วงอก, พริกแดง, น้ำส้มสายชู, ซีอิ๊วขาว, น้ำเชื่อม",,มีวัตถุดิบเยอะมาก มี หมูสามชั้น เต้าหู้ขาว เห็ดหอม กุ้งแกง รากผักชีต่างๆ อยากกินเป็นเมนูเส้นๆ,,
กะเพราไก่เด็กน้อย👨‍🍳,"ไก่บด, กะเพรา, กระเทียมตำ, พริกขี้หนู, น้ำมันหอย, แมกกี้, น้ำปลา, น้ำตาล, น้ำมัน, ซีอิ๊วดำ",,เมนูที่ใครๆก็กินได้ มี กะเพราะ ไก่ พริกเล็กน้อย,,
กะเพราเต้าหู้ ,"เต้าหู้, พริกขี้หนู, น้ำมัน, น้ำตาลทราย, ซีอิ๊วดำ, น้ำเปล่า",,กะเพราที่คนเป็นเจก็กินได้ ทำมาจากเต้าหุ้ รสชาติเป็ด เค็ม ถึงใจ,,
กาแฟชาเขียวเย็น,"ชาเขียว, น้ำตาล, น้ำร้อน, นมสด, กาแฟ, น้ำแข็ง",,อยากกินเครื่องดื่มอร่อยๆ มีความแปลก มีการใช้ชาเขียว และกาแฟ เข้าด้วยกัน,,
กาแฟดำน้ำผึ้งมะนาว (Honey Lime Black Coffee),"กาแฟ, น้ำผึ้ง, น้ำมะนาว, น้ำแข็ง, น้ำร้อน",,อยากกินกาแฟที่ช่วยทำให้ชุ่มคอ มี น้ำผึ้ง มะนาว,,
กุ้งกระเบื้องสาหร่าย,"แผ่นเปาะเปี๊ยะ, สาหร่าย, กุ้ง, รากผักชี, กระเทียม, พริกไทย, แป้งมัน, ไข่ขาว, ซอสหอยนางรม, น้ำตาลทราย, ต้นหอม",,มีแผ่นเป๊าะเปี้ยเหลือไว้ กับ กุ้ง สาหร่าย ไข่ สามารถทำอะไรกินได้บ้าง,,
กุ้งทอดกระเทียม (สูตรมันกุ้ง),"กุ้ง,  กระเทียม,  น้ำมันพืช,  แป้งทอดกรอบ,  ซอสถั่วเหลือง,  น้ำมันหอย,  น้ำปลา,  พริกไทย,  เกลือ",,มีกุ้ง อยากกินให้มันกรอบๆ อร่อยๆ ใช้แป้งทอดกรอบ ทำเมนูอะไรดี ,,
กุ้งผัดผงกะหรี่,"กุ้ง, ผงกะหรี่, น้ำพริกเผา, ไข่ไก่, นด, ซีอิ้วขาว, น้ำปลา, น้ำตาล, ซอสหอยนางรม, พริกไทย, กระเทียม, หัวหอม, คึ่นช่าย, ต้นหอม, พริก",,อยากกินกุ้งผัดผงกะหรี่อร่อยๆ กุ้งตัวใหญ่ๆ,,
กุ้งผัดพริกเกลือ,"กุ้ง, พริกขี้หนู, กระเทียม, รากผักชี, พริกไทย, ต้นหอม, ซอสหอยนางรม, ซีอิ๊วขาว, เกลือ, น้ำตาลทราย, น้ำมัน",,มีกุ้งตัวใหญ่ๆ อยากกินกับเกลือ กระเทียม รสชาติ เผ็ด เค็ม กลมกล่อม,,
กุ้งฝอยทอด,"กุ้ง, แป้งข้าวเจ้า, แป้งสาลีอเนกประสงค์, เกลือ, ไข่แดง, น้ำพริก, น้ำตาลทราย, น้ำปูนใส, ใบมะกรูด, น้ำมันน้ำตาลทราย, น้ำส้มสายชู, เกลือ, พริกชี้ฟ้าแดง, หอมแดง, ขิง, ผักชี",,อยากกินกุ้งฟอย,,
กุ้งอบวุ้นเส้น,"กุ้ง, วุ้นเส้น, น้ำตาลทราย, ซีอิ๊วดำ, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำซุป, เบคอน",,มี วุ้นเส้น กุ้ง น้ำตาล วอสหอย ซิอิ๊ว น้ำซุป เบคอน ขิง กระเทียม ทำอะรไได้บ้าง,,
เกี๊ยวกุ้งทอดยักษ์,"รากผักชี, กระเทียม, เม็ดพริกไทยขาว, เกลือ¼ ช้อนชา, ซีอิ๊วขาว, น้ำมันงา, เนื้อกุ้ง, แป้งข้าวโพด, ปลาหมึก, แป้งเปาะเปี๊ยะ, น้ำจิ้มบ๊วย, ซอสมะเขือเทศ, แป้งสาลีอเนกประสงค์, น้ำมันรำข้าว",,อยากกินอาหารอร่อยๆ โดยใช้ แป้งเป๊าะเปี้ย กุ้ง เม็ดพริกไทย กระเทียม ,,
เกี๊ยวน้ำสูตร มัดใจสามี,"แผ่นเกี๊ยว, หมูบด, รากผักชี, กระเทียม, พริกไทยเม็ด, ซอสหอยนางรม, ซีอิ๊วขาว, ซอสปรุงรสฝาเขียว, น้ำมันงา, น้ำเปล่าสำหรับต้มเกี๊ยว, น้ำมันงา, น้ำเปล่า, รสดีซุปก้อน, รากผักชี, กระเทียม, พริกไทย, ซอสปรุงรสฝาเขียว, น้ำตาลทราย, พริกไทย, คื่นฉ่าย",,อยากทำเมนูพิชิจใจสามี มีแผ่นเกี้ยว หมูบด ซุปก้อน และเครื่องแรุงต่างๆ ทำเมนูอะไรดี,,
แกงกะทิสายบัวปลาทูนึ่ง,"สายบัว, ปลาทู, น้ำตาล, หัวกระทิ, หางกะทิ, หอมแดง, พริกไทย, กะปิ, เกลือ, น้ำมะขามเปียก",,อยากใช้กะทิให้หมดๆ และพอดีได้สายบัวมา จะสามารถนำพวกนี้ไปประกอบอาหารอะไรบ้าง,,
แกงกะหรี่ญี่ปุ่น,"มันฝรั่ง, แครอท, หอมหัวใหญ่, แกงกะหรี่, น้ำตาลทราย, โชยุ, ซุปก้อน, กระเทียม, เนยจืด, เกลือ, พริกไทย, นมจืด, เนื้อหมู",,อยากกินแกงหะหรี่อร่อยๆ ใส่ มันฝรั่ง แครอท หอมหัวใหญ่เพิ่มความหวาน,,
แกงไก่ยอดมะพร้าวอ่อน,"ไก่,  กะทิ,  พริกแกง,  น้ำตาลปี๊บ,  คนอร์,  พริกชี้ฟ้า,  ใบโหระพา,  น้ำเปล่า,  ยอดมะพร้าวอ่อน",,อยากใช้ไก่ทุกส่วย โดยมีพริกแกงและเครื่อปรุงวัตถุดิบทั่วไปอยู่อล้ว,,
แกงไก่เส้นร้อน(วุ้นเส้น) ,"ไก่, วุ้นเส้น, หัวหอม, ตะไคร้, พริกขี้หนู, เกลือ, น้ำปลา, ใบมะกรูด, ใบแมงลัก, ต้นหอม, น้ำเปล่า, ตะไคร้",,แกงไก่อร่อยๆ ใส่วุ้นเส้น หั่นหอมละเอียด ตามใจชอบ สามารถทำเมนุอะไรได้บ้างคะ,,
แกงขี้เหล็กปลาย่าง,"หางกะทิ,  หัวกะทิ,  ปลา,  กะปิ,  ตะไคร้,  หัวหอมแดง,  กระเทียม,  พริกไทย,  ขมิ้น,  เกลือเม็ด,  ผงปรุงรส,  ใบขี้เหล็ก,  พริกสด",,มีทั้งหางและหัวกะทิ เนื้อปลา และใบขี้เหล็ก และกะทิ ทำอะไรกินได้บ้าง,,
แกงเขียวหวานเนื้อพริกขี้หนู,"เนื้อวัว,  พริกแกง,  กะทิ,  น้ำปลา,  น้ำตาล,  มะเขือเปราะ,  มะเขือพวง,  ใบโหระพา,  พริกขี้หนู,  ใบมะกรูด",, อยากกินแกงเขียวหวานอร่อยๆ ใช้เนื้อ น้ำตาลตะโหนด,,
แกงเขียวหวานลูกชิ้นปลากราย,"ลูกชิ้นปลากราย,  พริกแกงเขียวหวาน,  กะทิ,  มะเขือเปาะ,  กระชาย,  โหระพา,  พริกชี้ฟ้า,  ใบมะกรูด,  น้ำตาล,  น้ำปลา,  น้ำตาลทราย",,ได้ลูกชิ้นปลากรายชื่อกังอยากเามาทำแกงเขียวหวานทำเมนูอะไรดี,,
แกงคั่วเห็ดเผาะใส่หน่อไม้ดอง,"เห็ด,  หน่อไม้,  ชะอม, หัวกะทิ,  พริกแกง",,ได้เห็ดเผาะสด หน่อไม้ดอง ชะอมและชะพลู ทำอะไรกินได้ดี อยากได้ที่ไขมันน้อย,,
แกงจืดไข่น้ำหมูสับ,"หมูสับ, พริกไทยป่น, ซอสเห็ดหอม, ซีอิ๊วขาว, น้ำปลา, ไข่ไก่, น้ำปลา, น้ำมัน, รากผักชี, ผักกาดขาว, กระเทียม, พริกไทย, ซีอิ๊วขาว, น้ำปลา, เกลือป่นหยาบ, น้ำเปล่า, ต้นหอม, ผักชี, กระเทียมเจียว",,อาหารง่ายๆ เด็กกินได้ ผู้ใหญ่กินดี ใช้หมูสับ ไข่ ผักกาด ผักชี และเครื่องปรุงต่างๆ,,
แกงจืดไข่ม้วนไส้ผักกาดขาวหมูสับ,"ไข่ไก่,  หมูสับ,  ต้นหอมซอย,  ต้นหอม,  แครอท,  ผักกาดขาว,  ผักกาดหอม,  ผักชี, คนอร์,  ซีอิ๊วขาว,  น้ำเปล่า",,อาหารง่ายๆ คนป่วยดินได้ เด็กกินดี อยากจะทำเป็นแกงจืดใส่ไข่ หมูสับ แครอท ผักกาด คาร์บน้อย,,
แกงจืดผักกาดขาวเต้าหู้หมูสับ,"หมูสับ,  เต้าหู้ไข่ ,  ผักกาดขาว,  คนอร์",,อยากทำอาหารง่ายๆ ใส่เต้าหู้ ใส่ผักกาด หมูสับเพื่อให้รสชาติมันถั่วถึง ,,
แกงจืดหัวไชโป๊วหวาน,"หัวไชโป๊ว,  กระดูกหมู,  น้ำเปล่า,  กระเทียม,  รากผักชี,  พริกไทย,  พริกไทย,  เกลือ,  คนอร์",,อยากกินอาหารที่ทำมาจาากหัวไชโป๊ว กินง่าย คล่องคอ ใช้กระดูกหมู ,,
แกงซี่โครงหมูใส่วุ้นเส้น,"ซี่โครงหมู,  วุ้นเส้น,  ใบมะกรูด,  หอมแดง,  ตะไคร้,  น้ำปลา,  น้ำตาลปี๊บ,  ใบแมงลัก,  ต้นหอม,  น้ำเปล่า,  น้ำมันพืช, เกลือ,  พริกแห้ง,  พริกแดง,  เกลือ,  ข่า,  ตะไคร้,  หอมแดง",,ใมีซี่โครงหมู วุ้นเส้น หอมแดง พริก น้ำปลา น้ำตาลปิ๊ป เหลืออยู่ในตู้เย็น จะทำอะไรกินได้บ้าง,,
แกงบอน ใส่กะทิ,"กระชาย,  พริกแกง,  ตะใคร์,  หอมแดง,  ผิวมะกรูด,  กระเทียม,  พริกขี้หนู,  กะปิ,  ข่าหั่นเป็นแว่น,  เกลือ,  หมูสามชั้น,  น้ำปลาร้า,  กะทิ,  ใบมะกรูด,  มะกรูด  น้ำมะกรูด,  น้ำปลา,  น้ำตาลปี๊บ,  น้ำเปล่า",,มีก้านบอน กระชาย มะกรูด ข่า หมูสามชั้น น้ำปลาร้า อยากกินอะไรที่ไม่ค่อยอ้วยมาก กลางๆ ทำอะไรกินดี,,
แกงปลาดุกใส่ใบยอ,"ปลาดุก,  พริกแกง,  ใบยอ,  กะทิ,  น้ำปลา,  น้ำตาล,  เกลือ,  น้ำเปล่า",,อยากกินปลาดุก แซ่บๆ ใส่พริกแกงเพิ่มความเผ็ด น่าจะอร่อย,,
แกงป่าไก่,"พริกแกง,  สะโพก,  ยอดมะพร้าว,  หน่อไม้ต้ม,  มะเขือเปราะ,  กระชาย,  พริกไทย,  พริกชี้ฟ้า,  น้ำปลา,  น้ำตาลทราย",,อยากกินแกงป่า เผ็ดๆ แซ่บๆ ใส่ไก่เยอะๆ ใส่ยอดมะพร้าว หน่อไม้ กระชาย รสชาติจะได้อร่อย ครบรัส กลมกล่อม,,
แกงป่าหมู,"เนื้อหมู,  พริกแกงเผ็ด,  มะเขือเปราะ,  มะเขือพวง,  ฟักทอง,  ข้าวโพด,  พริกไทย,  กระชาย,  ใบกะเพรา,  ใบมะกรูด,  พริกชี้ฟ้า,  น้ำเปล่า,  คนอร์,  น้ำมัน",,อยากกินแกงป่าหมู,,
แกงผักกาดใส่ไก่,"น่องไก่,  พริกแห้ง,  หอมขาว,  หอมแดง,  เกลือ,  กะปิ,  ปลาร้า,  มะแคว่น,  ผักกาดกวางตุ้ง,  น้ำมัน,  ผักชี,  ตะไคร้",,วันนี้มีแครอทมาฝาก ผักที่คุอบกิน ผักมีวิตามิน มาคู่ด้วยผักกาด พริกต่างๆ และน่องไก่ชิ้นใหญ่ กะปิ ปลาร้า ทำอะไรกินดี,,
แกงเผ็ดเนื้อตุ๋นมะเขืออ่อน,"เนื้อน่อง,  มะเขือเปาะ,  กระชายฝอย,  พริกไทย,  พริกชี้ฟ้า,  โหระพา,  พริกแกงเผ็ด,  ใบมะกรูด,  กะทิ,  น้ำมัน",,ได้เนื้อน่องมาจากริปปิง มะเขือเปาะ กระชาย พริกไทย อยากกินอะไรอร่อยๆ เคี้ยวง่าย ไม่เหนียว,,
แกงเผ็ดมะเขือยาวหมูสับ,"เนื้อหมู,  มะเขือยาว,  พริกแกงเผ็ด,  หัวกะทิ,  ซีอิ๊วขาว,  เกลือ,  น้ำตาลปี๊ป,  พริกชี้ฟ้า,  ใบมะกรูด,  ใบโหระพา",,มีเนื้อหมูสับ มะเขือยาว  พริกแกง หัวกะทิ  ทำอะไรกินดี  ขอเมนูที่ไขมันน้อย,,
แกงมัสมั่นเนื้อ,"เนื้อวัว,  พริกแกง,  กะทิ,  อบเชย,  ดอกจันทร์,  ลูกกระวาน,  ถั่วลิสง,  น้ำตาลมะพร้าว,  น้ำมะขามเปียก,  น้ำปลา,  เกลือ, หยิบมือ, น้ำส้มซ่า,  มันฝรั่ง,  หอมหัวใหญ่,  คนอร์",,มีเนื้อวัว พริกแกง กะทิ อบเชย น้ำตาล กินอาหารที่โปรตีนสูง,,
แกงมัสมั่นหมู,"หมู,  พริกแกง,  หอมใหญ่,  มันฝรั่ง,  ถั่วลิสง,  น้ำตาลปีบ,  น้ำมะขามเปียก,  เกลือ,  ใบกระวาน,  กะทิ",,มีเนื้อหมู พริกแกงต่างๆ หอมใหญ่ มันฝรั่ง ทพอาหารที่อร่อยๆ รสชาติดี ,,
แกงเลียงใบตำลึง,"ใบตำลึง,  ไข่ไก่,  กะปิ,  ปลา",,อยากกินแกงที่ใส่ใบตำลึงเยอะๆๆๆๆ เพราะมีเยอะมาก,,
แกงเลียงเห็ด 3 อย่าง,"เห็ดฟาง,  เห็ดเข็มทอง,  เห็ดออรินจิ,  ฝักทอง,  บวบ,  ตำลึง,  ใบแมงลัก,  พริกไทยขาว,  หอมแดง,  กะปิ,  ข้าวโพด,  แครอท,  น้ำสะอาด,  เกลือ,  กุ้งแห้ง,  พริกแดง",,มีเห็ดฟาง เห็ดเข็มทอง เห็ดออรินจิ ทำอะรไกินได้บ้าง อยากกินอาหารที่มันใส่เห็ดหมดเลย เป็นแกงยิ่งดี ,,
แกงส้มชะอมทอด,"กุ้ง,  ปลาทู,  พริกแกง,  น้ำตาล,  น้ำปลา,  เกลือ,  น้ำมะขามเปียก,  น้ำสะอาด,  ผักกาดขาว,  แครอท,  หัวไช,  ชะอม",,อยากกินกุ้ง ปลาทู พริกแกง อยากกินรสชาติเผ็ดๆ ทำอะไรได้บ้าง ใส่ผักกาดกับแครอท เห็ดด้วย,,
แกงส้มปลาช่อนทอด,"ปลา,  แป้ง,  น้ำมัน,  พริกแกง,  ปลาทูน่า,  หัวไชเท้า,  ถั่วฝักยาว,  ผักกาดขาว,  มะขามเปียก,  น้ำตาลปี๊บ,  น้ำปลา",,มีปลาช่อยได้มา อยากมาทำปลาช่อนทอดพรอ และมีพริกแกง ทำเมนูอะไรดี,,
แกงส้มผักบุ้งปลาน้ำดอกไม้,"ผักบุ้ง ปลา,  พริกแกงส้ม,  มะขามเปียก,  น้ำปลา,  น้ำตาลปี๊บ,  เกลือ,  น้ำเปล่า",,อยากกินผักบุ้งเยอะๆ แต่ไม่เอาผัดน้ำมันหอยแล้ว อยากกินเป็นแกงๆ ทำอะไรกินดี,,
แกงส้มผักรวมกุ้งสด,"พริกแกง, น้ำเปล่า, กุ้ง, น้ำมะขามเปียก, น้ำตาลปี๊บ, น้ำปลา, ผักรวม",,อยากกินแกงส้ม ใส่ผักต่างๆ เช่น แครอท ข้าวโพดอ่อน กะหล่ำปลี กุ้ง,,
แกงสะแล,"สะแล,  หมูสามชั้น,  กระดูกหมู,  มะเขือเทศ,  ต้นหอม,  พริกแห้ง,  กระเทียม,  หอมแดง,  กะปิ,  ปลาร้า,  น้ำปลา,  ตะไคร้",,อยากกินแกง เค็มนำ อมเปรี้ยว ใส่ มะเขือเทศ กะปิ ปลาร้าสับ มีหมูสามชั้นด้วย,,
แกงสับปะรดใส่หอยแมลงภู่,"หอยแมลงภู่, พริกแกง, สับปะรด, หัวกะทิ, หางกะทิ, ใบมะกรูด, น้ำตาลปี๊บ, น้ำปลา, คนอร์",,อยากกินหอยแมงภู กับมีสัปปะรด ทำอะไรกินได้บ้าง,,
แกงหน่อไม้(ลาว),"น้ำใบย่านาง, หน่อไม้, ใบแมงลัก, พริกขี้หนู, น้ำปลาร้า, ตะไคร้, ข่า, ชะอม, เห็ดฟาง, หอมแดง, เกลือ, น้ำปลา, น้ำตาล, ข้าวเบือ",,มีน้ำใบย่านาง หน่อไม้ พริกขี้หนู ชะอมเยอะมาก ข่า เห็ดฟาง หอมแดง ทำอะไรกินดี ,,
แกงหมูตะพาบน้ำ สูตรโบราณ แบบครบเครื่อง,"ขาหมู,  ใบโหระพา, มะเขือเทศ,  ใบมะกรูด,  พริกขี้ฟ้า, พริกแกง,  กะทิ,  ระกำ, มะอึก,  กะปิ,  กุ้งแห้ง,  น้ำมะขามเปียก, ชิมรส, ผงปรุงรส,  เกลือ",,มีขาหมู มะเขือเทศ พริกแกง กะทิ ระกำ กะปิ ทำอะไรกินได้บ้าง ,,
แกงเห็ดผักหวานใส่กะปิ,"เห็ด,  กะปิ,  น้ำปลา,  ตะไคร้,  หอมแดง,  พริกขี้หนู,  พริกแดง,  ผักหวาน,  ชะอม,  ใบแมงลัก,  ใบย่านาง,  น้ำเปล่า,  หน่อไม้",,มีเห็ดฟาง เห็ดรวม ออรินจิ  พริก ทำอะไรกินดี ใส่พริกจะได้อร่อยๆขึ้น,,
แกงเห็ดเผาะ,"น้ำแกงใบย่านาง, เห็ดเผาะ,  ผักหวาน,  ใบแมงลัก,  หอมแดง,  พริก,  ตะไคร้",,มีน้ำแกงใบย่านาง เห็ดเผาะ ผักหวาน ใบแมงลัก พริก,,
แกงเห็ดใส่ใบแมงลัก,"พริกจินดา, หอมแดง, กระเทียม, ตะไคร้, น้ำปลาร้า, ผงปรุงรส, เกลือ, น้ำตาล, เห็ดฟาง, เห็ดโคนญี่ปุ่น",,อยากกกินแกงเห็ด แต่แตกต่างออกจากเดิม แนะนำให้ทำเมนูอะไรดี,,
แกงองุ่นเป็ดย่างโหรภา,"เป็ดย่าง,  องุ่นไร้เม็ด,  มะเขือเทศสีดา, ใบมะกรูด,  โหระพา,  มะเขือพวง,  พริกหนุ่ม,  พริกแกง,  กะทิ,  น้ำตาลทราย,  น้ำปลา",,มีเป็ดตัวใหญ่มาก องุ่นเยอะมากก ช้อกโกแลต พริกแกง โหระพา มะเจือ ทำเมนูอะไรดี ,,
แกงโฮะ,"เนื้อหมู, กะเพรา, มะกรูด, มะเขือ, มะเขือพวง, ตะไคร้, กระเทียม, หน่อไม้, ผงกะหรี่, วุ้นเส้น, พริกแกงเขียวหวาน, แกงเผ็ด, แกงฮังเล, น้ำปลา, ซีอิ๊วขาว, ผงชูรส, ถั่วฝักยาว, น้ำมันพืช",,คือมีของเยอะมาก มี หมู ใบกะเพราะ ใบมะกรูด มีพริกแกงเขียวหวาน แกงเผ็ด แกงฮังเล ผงกะหรี่อีก ทำอะไรกินดี ,,
โกโก้มัทฉะ,"ผงมัทฉะ, นม, น้ำตาล, ผงโกโก้, น้ำตาล, น้ำแข็ง, ชาเขียว",,อยากกินโกโก้มัทฉะ,,
โกโก้ร้อน,"ผงโกโก้, ครีมเทียม, นมข้นหวาน",,รู้สึกช่วงนี้เจ็บคอ ทำอะไรกินดี มี ผงโกโก้เหลืออยู่,,
โกโก้หนึบ,"นมข้นหวาน, ผงโกโก้",,อยากทำขนมอร่อยๆให้น้องสาวทาน มีผงโกโก้ กับนมข้นหวาน มีแค่สองอย่าง ทำอะไรกินดี,,
ไก่กระเทียมพริกไทย,"อกไก่, กระเทียม, พริกไทยดำ, ซีอิ๊วขาว, น้ำมันหอย, น้ำตาล, รสดี, น้ำเปล่า",,อยากทำอาหารง่ายๆ เด็กกินได้ ผู้ใหญ่กินดี มีเนื้ออกไก่ กระเทียม และเครื่องปรุงปกติ ทำอะไรกินดี ,,
ไก่กระวานผัดเผ็ด,"สะโพกไก่, หน่อกระวาน, น้ำสต๊อกไก่, พริกชี้ฟ้า, ใบมะกรูด, น้ำปลา, น้ำมัน, ข่า, ตะไคร้, ผิวมะกรูด, กระเทียมไทย, เกลือ, พริกขี้หนูสวน, กะปิ",,ได้หน่อกระวานมา สะโพกไก่ชิ้นใหญ่ๆ ทำอาหารอะไรดี ,,
ไก่ต้มน้ำปลา,"น่องไก่,  กระเทียม,  รากผักชี,  น้ำปลา,  ซอสหอยนางรม,  น้ำตาลทราย,  น้ำตาลปี๊บ,  ซีอิ๊วดำ",,อยากกินอาหารที่คุณแม่ชอบกิน กินง่ายๆ ไม่เจ็บฟัน มีไก่ น้ำตาลปิ้ป น้ำปลา ไข่ กระเทียม ทำอะไรกินดี,,
ไก่ตุ๋นมะนาวดอง,"น่องไก่, สะโพกไก่, น้ำมัน, ฟัก, เห็ดหอม, กระเทียม, รากผักชี, พริกไทยขาว, มะนาวดอง, น้ำเปล่า, ซีอิ๊วขาว, เกลือ, ผักชี",,อยากกินๆไก่ตุ๋นตัวหญ่ๆอร่อยกินง่าย,,
ไก่ผัดพริกแกง,"เนื้อไก่,  ถั่วฝักยาว,  มะเขือ,  ใบมะกรูด,  พริก,  พริกแกง,  น้ำตาล,  คนอร์,  น้ำมัน",,มีพริกแกงเหลือจากทำแกงส้มเยอะมากกกกก อยากเอาพริกแกงมาทำต่อ และมีไก่เหลืออยู่พอดี,,
ไก่ย่าง กะทิ สูตรโบราณ หอม นุ่ม เด้งฉ่ำ,"สะโพกไก่, กระเทียม, พริกไทย, รากผักชี,  ซีอิ๊วขาว,  น้ำตาลปี๊บ,  เกลือ,  ซีอิ๊วดำ,  กะทิสด",,อยากทำไก่ย่างอร่อยๆ กินคู่กับส้มตำ,,
ไก่ย่างจิ้มแจ่ว,"สะโพกไก่, น้ำมันมะกอก, ผงปรุงรส, น้ำมันหอย, ซีอิ๊วขาว, สามเกลอ, น้ำปลา, น้ำมะนาว, พริกป่น, น้ำตาลปี๊บ, ข้าวคั่ว, หอมแดง, ผักชีฝรั่งซอย",,อยากกินไก่ย่าง แต่เพิ่มความเผ็ดด้วยน้ำจิ้มน่าจะดีมาก,,
ไก่อบซอสบาบีคิวน้ำผึ้ง,"ไก่,  ซอสบาบีคิว,  ซอสปรุงรส,  น้ำผึ้ง,ซอสพริก,  พริกไทยดำป่น,  กระเทียม,  ขิง",,อยากกินเมนูที่ปาร์ตี้กับเพื่อนๆได้ เลยเสนอบาบีคิว จะทำกินดีไหม,,
ขนมกล้วย/ขนมฟักทอง,"กล้วยน้ำว้า, ฟักทอง, แป้งข้าวจ้าว, แป้งมัน, น้ำตาลทราย, หัวกะทิ, เกลือ, เนื้อมะพร้าวขูด, กล้วย",,อยากกินขนมไทยๆ มีกล้วย กับฟักทอง มะพร้าว ทำอะไรดี,,
ขนมจีนน้ำเงี้ยว,"หมูบด, ซี่โครงหมู, ตีนไก่, เลือดไก่, มะเขือเทศ, ดอกงิ้ว, ผักชี, ผักกาด, ถั่วงอก, กะหล่ำปลี, พริกแห้ง, พริกน้ำ, กะปิ, น้ำปลา, น้ำตาล, กระเทียมไทย",,คิดถึงอาหารภาคเหนือ เลยอยากทำอาหารเส้นๆที่มีการต้มซี่โครงหมู มะเขือเทศ พริก และปรุงตามใจชอบ ยิ่งกินกับถั่วงอกได้ยิ่งดี เพราะมีเต็มตู้เย็น,,
ขนมจีนน้ำยากะทิตีนไก่,"ไก่บด, น้ำกะทิ, พริกแกงเผ็ด, กระชาย, ใบมะกรูด, ตีนไก่, เลือดไก่, ลูกชิ้นปลา, น้ำตาลทรายแดง, เกลือ, รสดี, ขนมจีน, ผัก",,มีเนื้อไก่ กะทิ ทำอะไรกินดี ,,
